t,x,y,z,intensity
173,12481.36328125,14055.9951171875,-446.689697265625,1020.37701416016
175,12591.765625,14176.1513671875,-367.04150390625,1276.17797851562
176,12507.638671875,14221.6259765625,-454.89599609375,1662.39196777344
177,12358.5537109375,14388.1748046875,-232.246704101562,981.157775878906
178,12632.4404296875,14295.2265625,-364.623901367188,1109.43518066406
178,12635.94140625,14257.115234375,-380.754760742188,1314.25402832031
179,12588.275390625,14297.0458984375,-328.863159179688,797.723999023438
180,11998.0810546875,13260.912109375,-567.317016601562,1143.91394042969
180,12654.349609375,14249.3447265625,-381.407958984375,1211.60131835938
181,12570.9873046875,14184.4453125,-411.702728271484,1172.58068847656
182,11904.5595703125,13225.359375,-583.359008789062,1146.92614746094
182,12696.962890625,14275.796875,-351.277709960938,1147.41967773438
183,12511.009765625,14177.8037109375,-460.718658447266,1349.49462890625
184,12714.572265625,14389.4140625,-250.9111328125,740.746765136719
186,12370.6337890625,14093.6484375,-158.492797851562,605.56982421875
187,11912.5400390625,12934.1513671875,-136.725219726562,459.292144775391
187,12544.5126953125,14215.017578125,-284.253784179688,803.204223632812
188,12679.080078125,13950.953125,-610.504028320312,1783.31384277344
189,12247.103515625,14295.642578125,-452.780181884766,1043.97302246094
189,12020.6591796875,12743.9248046875,-103.485595703125,410.601898193359
189,12270.3505859375,14238.6962890625,-466.583404541016,1140.09594726562
190,12572.404296875,14088.462890625,-436.719635009766,1098.02917480469
191,12326.5537109375,14017.8125,-516.142822265625,1534.99633789062
192,12436.44140625,14143.3408203125,-383.635375976562,1215.595703125
193,12515.83984375,13948.60546875,-345.320068359375,1072.52026367188
193,12518.3017578125,13950.1083984375,-339.1103515625,1043.41784667969
194,11928.2568359375,12973.5654296875,-32.4942626953125,408.998168945312
194,12551.8671875,14379.384765625,-59.15966796875,517.395690917969
196,12443.6533203125,14071.9384765625,-243.931762695312,836.174926757812
198,12453.7705078125,14344.4052734375,-88.915771484375,482.426300048828
199,12389.33203125,14165.9921875,-324.063110351562,757.721862792969
201,12413.10546875,14195.689453125,-352.579467773438,1087.31665039062
202,12617.91015625,14326.6552734375,-377.428344726562,776.373657226562
203,12410.501953125,14298.525390625,-311.292358398438,1139.89221191406
207,12508.88671875,13812.0458984375,-733.256958007812,2049.40258789062
208,12134.16796875,8661.84375,-374.856201171875,597.905090332031
208,12558.3994140625,14146.974609375,-470.032470703125,1033.83972167969
208,12576.1318359375,14213.380859375,-455.024017333984,799.273742675781
209,12566.12109375,14492.4365234375,-85.429443359375,647.247924804688
210,12459.337890625,14281.759765625,-280.772338867188,922.678588867188
210,12676.2548828125,14422.94921875,-709.619873046875,1810.3017578125
211,12509.8681640625,14002.580078125,-393.27734375,1146.66235351562
213,12407.740234375,14343.09375,-134.296997070312,579.778930664062
214,12481.76953125,14066.0048828125,-390.154296875,883.28955078125
217,12400.904296875,14038.0283203125,-470.231353759766,1495.82800292969
219,12456.833984375,13966.220703125,-554.6376953125,2062.20556640625
220,12537.037109375,14244.849609375,-146.340454101562,599.857299804688
221,12446.705078125,14018.169921875,-529.30810546875,1397.63439941406
222,12549.1611328125,14355.5966796875,-164.244018554688,831.136596679688
223,12326.1015625,14292.0849609375,-74.46337890625,824.706726074219
225,12486.064453125,13868.7705078125,-468.871673583984,1467.82434082031
226,12457.2373046875,14198.9794921875,-184.589111328125,814.978820800781
226,12446.7080078125,14206.607421875,-248.52099609375,1049.36462402344
227,12355.580078125,13674.5947265625,-449.826171875,1043.40258789062
227,12449.9404296875,14193.2607421875,-269.932861328125,804.663391113281
227,12453.880859375,14210.2431640625,-300.140869140625,1020.76770019531
228,12428.470703125,13984.0380859375,-385.217163085938,1258.853515625
229,12357.865234375,13800.6337890625,-446.533111572266,1081.06274414062
229,12455.529296875,13991.7431640625,-396.2578125,1051.40686035156
230,12441.69140625,13851.7578125,-421.59912109375,1395.423828125
230,12471.5966796875,13916.36328125,-479.252044677734,1537.62268066406
